Time (uS) - Plot 0,Amplitude - Plot 0
17633,-4.00E+06
17667,-5.00E+06
17700,-5.00E+06
17733,-5.00E+06
17767,-5.00E+06
17800,-5.00E+06
17833,-5.00E+06
17867,-5.00E+06
17900,-4.00E+06
17933,-4.00E+06
17967,-3.00E+06
18000,-2.00E+06
18033,-2.00E+06
18067,-7.71E+05
18100,6.20E+04
18133,8.34E+05
18167,2.00E+06
18200,2.00E+06
18233,3.00E+06
18267,3.00E+06
18300,4.00E+06
18333,4.00E+06
18367,4.00E+06
18400,4.00E+06
18433,4.00E+06
18467,4.00E+06
18500,4.00E+06
18533,4.00E+06
18567,3.00E+06
18600,3.00E+06
18633,2.00E+06
18667,1.00E+06
18700,8.54E+05
18733,2.27E+05
18767,8.00E+07
18800,3.20E+04
18833,-5.20E+05
18867,-1.00E+06
18900,-2.00E+06
18933,-2.00E+06
18967,-3.00E+06
19000,-3.00E+06
19033,-4.00E+06
19067,-4.00E+06
19100,-4.00E+06
19133,-4.00E+06
19167,-4.00E+06
19200,-4.00E+06
19233,-4.00E+06
19267,-3.00E+06
19300,-3.00E+06
19333,-2.00E+06
19367,-2.00E+06
19400,-9.83E+05
19433,-2.14E+05
19467,5.43E+05
19500,1.00E+06
19533,2.00E+06
19567,3.00E+06
19600,3.00E+06
19633,4.00E+06
19667,4.00E+06
19700,5.00E+06
19733,5.00E+06
19767,5.00E+06
19800,5.00E+06
19833,5.00E+06
19867,5.00E+06
19900,4.00E+06
19933,4.00E+06
19967,3.00E+06
20000,2.00E+06
20033,1.00E+06
20067,4.48E+05
20100,-4.29E+05
20133,-1.00E+06
20167,-2.00E+06
20200,-3.00E+06
20233,-4.00E+06
20267,-4.00E+06
20300,-5.00E+06
20333,-5.00E+06
20367,-6.00E+06
20400,-6.00E+06
20433,-6.00E+06
20467,-6.00E+06
20500,-5.00E+06
20533,-5.00E+06
20567,-4.00E+06
20600,-3.00E+06
20633,-3.00E+06
20667,-2.00E+06
20700,-5.99E+05
20733,3.53E+05
20767,1.00E+06
20800,2.00E+06
20833,3.00E+06
20867,4.00E+06
20900,5.00E+06
20933,6.00E+06
20967,6.00E+06
21000,7.00E+06
21033,7.00E+06
21067,7.00E+06
21100,7.00E+06
21133,6.00E+06
21167,6.00E+06
21200,5.00E+06
21233,4.00E+06
21267,3.00E+06
21300,2.00E+06
21333,1.00E+06
21367,-7.80E+04
21400,-1.00E+06
21433,-2.00E+06
21467,-4.00E+06
21500,-5.00E+06
21533,-6.00E+06
21567,-6.00E+06
21600,-7.00E+06
21633,-7.00E+06
21667,-8.00E+06
21700,-8.00E+06
21733,-8.00E+06
21767,-7.00E+06
21800,-7.00E+06
21833,-6.00E+06
21867,-5.00E+06
21900,-4.00E+06
21933,-3.00E+06
21967,-2.00E+06
22000,-6.40E+05
22033,6.59E+05
22067,2.00E+06
22100,3.00E+06
22133,4.00E+06
22167,6.00E+06
22200,7.00E+06
22233,7.00E+06
22267,8.00E+06
22300,8.00E+06
22333,9.00E+06
22367,9.00E+06
22400,8.00E+06
22433,8.00E+06
22467,7.00E+06
22500,6.00E+06
22533,6.00E+06
22567,4.00E+06
22600,3.00E+06
22633,2.00E+06
22667,5.44E+05
22700,-8.13E+05
22733,-2.00E+06
22767,-3.00E+06
22800,-5.00E+06
22833,-6.00E+06
22867,-7.00E+06
22900,-7.00E+06
22933,-8.00E+06
22967,-8.00E+06
23000,-8.00E+06
23033,-8.00E+06
23067,-8.00E+06
23100,-8.00E+06
23133,-7.00E+06
23167,-6.00E+06
23200,-5.00E+06
23233,-4.00E+06
23267,-3.00E+06
23300,-2.00E+06
23333,-4.65E+05
23367,8.32E+05
23400,2.00E+06
23433,3.00E+06
23467,4.00E+06
23500,5.00E+06
23533,6.00E+06
23567,7.00E+06
23600,7.00E+06
23633,7.00E+06
23667,7.00E+06
23700,7.00E+06
23733,7.00E+06
23767,6.00E+06
23800,6.00E+06
23833,5.00E+06
23867,4.00E+06
23900,3.00E+06
23933,2.00E+06
23967,1.00E+06
24000,5.60E+04
24033,-9.98E+05
24067,-2.00E+06
24100,-3.00E+06
24133,-4.00E+06
24167,-5.00E+06
24200,-5.00E+06
24233,-6.00E+06
24267,-6.00E+06
24300,-6.00E+06
24333,-6.00E+06
24367,-6.00E+06
24400,-6.00E+06
24433,-5.00E+06
24467,-5.00E+06
24500,-4.00E+06
24533,-3.00E+06
24567,-2.00E+06
24600,-1.00E+06
24633,-4.17E+05
24667,4.91E+05
24700,1.00E+06
24733,2.00E+06
24767,3.00E+06
24800,4.00E+06
24833,4.00E+06
24867,5.00E+06
24900,5.00E+06
24933,5.00E+06
24967,5.00E+06
25000,5.00E+06
25033,5.00E+06
25067,4.00E+06
25100,4.00E+06
25133,3.00E+06
25167,3.00E+06
25200,2.00E+06
25233,1.00E+06
25267,5.73E+05
25300,-1.24E+05
25333,-8.75E+05
25367,-2.00E+06
25400,-2.00E+06
25433,-3.00E+06
25467,-3.00E+06
25500,-4.00E+06
25533,-4.00E+06
25567,-4.00E+06
25600,-4.00E+06
25633,-4.00E+06
25667,-4.00E+06
25700,-4.00E+06
25733,-3.00E+06
25767,-3.00E+06
25800,-2.00E+06
25833,-2.00E+06
25867,-1.00E+06
25900,-7.27E+05
25933,-1.34E+05
25967,4.51E+05
26000,1.00E+06
26033,2.00E+06
26067,2.00E+06
26100,2.00E+06
26133,3.00E+06
26167,3.00E+06
26200,3.00E+06
26233,3.00E+06
26267,8.10E+07
26300,-2.20E+05
26333,-1.00E+06
26367,-3.00E+06
26400,-2.00E+06
26433,-2.00E+06
26467,-2.00E+06
26500,-2.00E+06
26533,-1.00E+06
26567,-7.24E+05
26600,-2.34E+05
26633,2.89E+05
26667,8.26E+05
26700,1.00E+06
26733,2.00E+06
26767,2.00E+06
26800,3.00E+06
26833,3.00E+06
26867,3.00E+06
26900,3.00E+06
26933,3.00E+06
26967,4.00E+06
27000,3.00E+06
27033,3.00E+06
27067,3.00E+06
27100,3.00E+06
27133,2.00E+06
27167,2.00E+06
27200,1.00E+06
27233,6.87E+05
27267,1.84E+05
27300,-4.79E+05
27333,-1.00E+06
27367,-2.00E+06
27400,-2.00E+06
27433,-3.00E+06
27467,-3.00E+06
27500,-4.00E+06
27533,-4.00E+06
27567,-4.00E+06
27600,-4.00E+06
27633,-4.00E+06
27667,-4.00E+06
27700,-4.00E+06
27733,-3.00E+06
27767,-3.00E+06
27800,-3.00E+06
27833,-2.00E+06
27867,-1.00E+06
27900,-5.53E+05
27933,1.30E+05
27967,8.62E+05
28000,2.00E+06
28033,2.00E+06
28067,3.00E+06
28100,4.00E+06
28133,4.00E+06
28167,5.00E+06
28200,5.00E+06
28233,5.00E+06
28267,5.00E+06
28300,5.00E+06
28333,5.00E+06
28367,4.00E+06
28400,4.00E+06
28433,3.00E+06
28467,3.00E+06
28500,2.00E+06
28533,1.00E+06
28567,3.12E+05
28600,-5.90E+05
28633,-1.00E+06
28667,-2.00E+06
28700,-3.00E+06
28733,-4.00E+06
28767,-5.00E+06
28800,-5.00E+06
28833,-6.00E+06
28867,-6.00E+06
28900,-6.00E+06
28933,-6.00E+06
28967,-6.00E+06
29000,-6.00E+06
29033,-5.00E+06
29067,-5.00E+06
29100,-4.00E+06
29133,-3.00E+06
29167,-2.00E+06
29200,-1.00E+06
29233,-2.06E+05
29267,8.32E+05
29300,2.00E+06
29333,3.00E+06
29367,4.00E+06
29400,5.00E+06
29433,5.00E+06
29467,6.00E+06
29500,6.00E+06
29533,7.00E+06
29567,7.00E+06
29600,7.00E+06
29633,7.00E+06
29667,6.00E+06
29700,6.00E+06
29733,5.00E+06
29767,4.00E+06
29800,3.00E+06
29833,2.00E+06
29867,1.00E+06
29900,2.94E+05
29933,-7.85E+05
29967,-2.00E+06
30000,-3.00E+06
30033,-4.00E+06
30067,-5.00E+06
30100,-5.00E+06
30133,-6.00E+06
30167,-6.00E+06
30200,-7.00E+06
30233,-7.00E+06
30267,-7.00E+06
30300,-7.00E+06
30333,-6.00E+06
30367,-6.00E+06
30400,-5.00E+06
30433,-4.00E+06
30467,-3.00E+06
30500,-2.00E+06
30533,-1.00E+06
30567,-3.03E+05
30600,6.94E+05
30633,2.00E+06
30667,3.00E+06
30700,3.00E+06
30733,4.00E+06
30767,5.00E+06
30800,5.00E+06
30833,6.00E+06
30867,6.00E+06
30900,6.00E+06
30933,6.00E+06
30967,6.00E+06
31000,5.00E+06
31033,5.00E+06
31067,4.00E+06
31100,3.00E+06
31133,3.00E+06
31167,2.00E+06
31200,8.59E+05
31233,-5.00E+03
31267,-9.38E+05
31300,-2.00E+06
31333,-3.00E+06
31367,-3.00E+06
31400,-4.00E+06
31433,-4.00E+06
31467,-5.00E+06
31500,-5.00E+06
31533,-5.00E+06
31567,-5.00E+06
31600,-5.00E+06
31633,-5.00E+06
31667,-4.00E+06
31700,-4.00E+06
31733,-3.00E+06
31767,-2.00E+06
31800,-2.00E+06
31833,-9.60E+05
31867,-2.30E+05
31900,5.67E+05
31933,1.00E+06
31967,2.00E+06
32000,3.00E+06
32033,3.00E+06
32067,4.00E+06
32100,4.00E+06
32133,4.00E+06
32167,4.00E+06
32200,4.00E+06
32233,4.00E+06
32267,4.00E+06
32300,4.00E+06
32333,3.00E+06
32367,3.00E+06
32400,2.00E+06
32433,2.00E+06
32467,9.78E+05
32500,3.13E+05
32533,-2.68E+05
32567,-9.62E+05
32600,-2.00E+06
32633,-2.00E+06
32667,-3.00E+06
32700,-3.00E+06
32733,-3.00E+06
32767,-3.00E+06
32800,-4.00E+06
32833,-4.00E+06
32867,-4.00E+06
32900,-3.00E+06
32933,-3.00E+06
32967,-3.00E+06
33000,-2.00E+06
33033,-2.00E+06
33067,-2.00E+06
33100,-9.15E+05
33133,-4.27E+05
33167,8.20E+04
33200,6.40E+05
33233,1.00E+06
33267,2.00E+06
33300,2.00E+06
33333,2.00E+06
33367,3.00E+06
33400,3.00E+06
33433,3.00E+06
33467,3.00E+06
33500,3.00E+06
33533,3.00E+06
33567,3.00E+06
33600,2.00E+06
33633,2.00E+06
33667,2.00E+06
33700,1.00E+06
33733,9.53E+05
33767,5.70E+07
33800,2.30E+07
33833,-1.15E+05
33867,-1.00E+06
33900,-1.00E+06
33933,-2.00E+06
33967,-2.00E+06
34000,-2.00E+06
34033,-3.00E+06
34067,-3.00E+06
